image_id,label
im1075sadness.png,neutral
im100disgusted.png,negative
im19angry.png,negative
im78disgusted.png,negative
im655sadness.png,neutral
im490angry.png,negative
im297fearful.png,negative
im931angry.png,negative
im778fearful.png,negative
im525sadness.png,negative
im597sadness.png,negative
im181fearful.png,negative
im906sadness.png,negative
im27sadness.png,negative
im567sadness.png,positive
im451fearful.png,negative
im954fearful.png,negative
im1138sadness.png,negative
im632fearful.png,negative
im1230sadness.png,neutral
im719angry.png,negative
im366fearful.png,negative
im798angry.png,negative
im716angry.png,negative
im196sadness.png,negative
im57fearful.png,negative
im692angry.png,positive
im169fearful.png,neutral
im185fearful.png,negative
im1234sadness.png,negative
im462sadness.png,negative
im163fearful.png,negative
im251sadness.png,negative
im54sadness.png,negative
im838angry.png,neutral
im573sadness.png,positive
im832angry.png,negative
im496sadness.png,negative
im314angry.png,negative
im726angry.png,negative
im391angry.png,negative
im951sadness.png,neutral
im51fearful.png,negative
im212angry.png,neutral
im355fearful.png,negative
im1213sadness.png,negative
im46sadness.png,negative
im9disgusted.png,negative
im187fearful.png,negative
im673angry.png,negative
im145angry.png,negative
im494sadness.png,negative
im932angry.png,negative
im1237sadness.png,negative
im587fearful.png,negative
im670sadness.png,negative
im699sadness.png,neutral
im601fearful.png,negative
im881angry.png,negative
im220fearful.png,negative
im260angry.png,neutral
im673fearful.png,negative
im508sadness.png,negative
im748sadness.png,negative
im50fearful.png,negative
im768sadness.png,negative
im754fearful.png,negative
im692sadness.png,negative
im393angry.png,negative
im861angry.png,negative
im356fearful.png,negative
im155sadness.png,positive
im1088sadness.png,negative
im347angry.png,negative
im421sadness.png,negative
im541angry.png,negative
im424fearful.png,negative
im550sadness.png,neutral
im498fearful.png,negative
im475angry.png,negative
im236angry.png,negative
im945angry.png,negative
im28disgusted.png,negative
im1193sadness.png,negative
im581fearful.png,negative
im445fearful.png,negative
im492fearful.png,negative
im137fearful.png,negative
im991fearful.png,negative
im261sadness.png,negative
im58disgusted.png,negative
im703angry.png,negative
im138angry.png,negative
im792angry.png,negative
im735fearful.png,negative
im63angry.png,negative
im666sadness.png,negative
im575angry.png,neutral
im269angry.png,negative
im622angry.png,negative
im465fearful.png,negative
im456fearful.png,negative
im653angry.png,negative
im47disgusted.png,negative
im388sadness.png,negative
im709fearful.png,negative
im374sadness.png,negative
im197sadness.png,negative
im486sadness.png,negative
im677fearful.png,negative
im578sadness.png,negative
im493angry.png,negative
im944angry.png,negative
im335sadness.png,negative
im358fearful.png,negative
im715fearful.png,negative
im729fearful.png,negative
im917sadness.png,positive
im79disgusted.png,negative
im501angry.png,negative
im378sadness.png,negative
im769angry.png,negative
im879sadness.png,negative
im521sadness.png,negative
im693fearful.png,negative
im698sadness.png,negative
im126sadness.png,negative
im309angry.png,negative
im232sadness.png,negative
im51angry.png,negative
im1217sadness.png,negative
im603angry.png,negative
im92fearful.png,negative
im866sadness.png,negative
im739angry.png,negative
im566fearful.png,negative
im557fearful.png,negative
im844sadness.png,neutral
im717sadness.png,negative
im958sadness.png,negative
im683angry.png,negative
im338angry.png,negative
im707fearful.png,negative
im714angry.png,negative
im414sadness.png,positive
im656angry.png,negative
im890angry.png,negative
im28sadness.png,negative
im454angry.png,negative
im1146sadness.png,negative
im1089sadness.png,negative
im223fearful.png,negative
im667sadness.png,negative
im994sadness.png,negative
im68fearful.png,negative
im1098sadness.png,negative
im891fearful.png,positive
im70fearful.png,negative
im627sadness.png,negative
im1069sadness.png,negative
im362fearful.png,negative
im550angry.png,negative
im818sadness.png,negative
im553sadness.png,negative
im799fearful.png,negative
im50sadness.png,negative
im100fearful.png,negative
im1126sadness.png,negative
im1093sadness.png,negative
im386sadness.png,negative
im422fearful.png,negative
im279angry.png,positive
im580angry.png,negative
im1023fearful.png,negative
im475sadness.png,negative
im660fearful.png,neutral
im720fearful.png,negative
im322angry.png,negative
im816fearful.png,positive
im344angry.png,negative
im507angry.png,negative
im341fearful.png,neutral
im157sadness.png,negative
im1015fearful.png,negative
im444sadness.png,negative
im216sadness.png,negative
im513angry.png,negative
im714fearful.png,negative
im840fearful.png,negative
im892angry.png,negative
im614fearful.png,negative
im873sadness.png,negative
im1136sadness.png,positive
im100angry.png,negative
im411angry.png,negative
im712sadness.png,negative
im39sadness.png,negative
im332fearful.png,negative
im1167sadness.png,negative
im392angry.png,negative
im883fearful.png,negative
im1074sadness.png,neutral
im405sadness.png,neutral
im244fearful.png,negative
im534angry.png,negative
im378angry.png,negative
im901fearful.png,negative
im531angry.png,negative
im179angry.png,negative
im350angry.png,negative
im559angry.png,negative
im36angry.png,negative
im409sadness.png,negative
im927sadness.png,neutral
im681sadness.png,negative
im747sadness.png,negative
im431fearful.png,negative
im645sadness.png,negative
im879angry.png,negative
im422angry.png,negative
im1004fearful.png,negative
im934angry.png,negative
im1157sadness.png,negative
im570sadness.png,negative
im339sadness.png,neutral
im183sadness.png,negative
im697angry.png,positive
im210angry.png,negative
im1070sadness.png,negative
im83angry.png,neutral
im381fearful.png,negative
im78angry.png,negative
im108disgusted.png,negative
im271fearful.png,negative
im736fearful.png,negative
im224fearful.png,negative
im88sadness.png,negative
im748fearful.png,negative
im972fearful.png,negative
im876angry.png,neutral
im828fearful.png,negative
im524angry.png,negative
im8sadness.png,positive
im257angry.png,neutral
im202sadness.png,negative
im602fearful.png,negative
im96sadness.png,negative
im655fearful.png,negative
im793fearful.png,negative
im467fearful.png,negative
im575sadness.png,negative
im792sadness.png,negative
im776sadness.png,negative
im229angry.png,negative
im777sadness.png,neutral
im598sadness.png,neutral
im728sadness.png,negative
im1241sadness.png,negative
im513fearful.png,negative
im326fearful.png,positive
im601angry.png,negative
im652angry.png,neutral
im582angry.png,negative
im373sadness.png,negative
im946sadness.png,neutral
im1068sadness.png,negative
im390sadness.png,negative
im711angry.png,positive
im745sadness.png,neutral
im837sadness.png,negative
im209sadness.png,negative
im53sadness.png,negative
im190angry.png,negative
im1194sadness.png,negative
im1033sadness.png,negative
im907angry.png,positive
im735angry.png,negative
im132fearful.png,negative
im1013sadness.png,negative
im773fearful.png,negative
im536fearful.png,negative
im578angry.png,negative
im813fearful.png,negative
im385angry.png,neutral
im125sadness.png,negative
im599angry.png,negative
im175fearful.png,negative
im750angry.png,negative
im23disgusted.png,negative
im287fearful.png,negative
im815fearful.png,negative
im656fearful.png,negative
im462angry.png,negative
im293fearful.png,negative
im685sadness.png,neutral
im321sadness.png,negative
im1149sadness.png,negative
im80angry.png,negative
im298fearful.png,negative
im195fearful.png,negative
im25fearful.png,negative
im786sadness.png,negative
im716fearful.png,negative
im1011sadness.png,negative
im150angry.png,negative
im21disgusted.png,positive
im642sadness.png,negative
im889fearful.png,negative
im125angry.png,negative
im904fearful.png,neutral
im548angry.png,negative
im437angry.png,negative
im598angry.png,negative
im523sadness.png,negative
im757angry.png,negative
im530angry.png,negative
im839angry.png,negative
im734angry.png,negative
im278sadness.png,negative
im880sadness.png,negative
im135sadness.png,negative
im723angry.png,negative
im684fearful.png,negative
im227sadness.png,negative
im185sadness.png,negative
im182fearful.png,negative
im1053sadness.png,negative
im1059sadness.png,negative
im669fearful.png,negative
im269fearful.png,negative
im435fearful.png,negative
im1162sadness.png,negative
im51sadness.png,negative
im23sadness.png,negative
im89angry.png,negative
im867sadness.png,negative
im43sadness.png,negative
im161angry.png,neutral
im1022fearful.png,negative
im267sadness.png,negative
im730fearful.png,negative
im956fearful.png,negative
im1013fearful.png,negative
im48sadness.png,negative
im803angry.png,negative
im983sadness.png,negative
im16disgusted.png,negative
im148sadness.png,negative
im507sadness.png,negative
im894sadness.png,positive
im998fearful.png,negative
im252sadness.png,neutral
im650angry.png,negative
im937angry.png,negative
im460angry.png,negative
im521fearful.png,negative
im167sadness.png,negative
im65fearful.png,negative
im1218sadness.png,positive
im85disgusted.png,negative
im106sadness.png,negative
im694angry.png,negative
im256sadness.png,negative
im499angry.png,negative
im930angry.png,negative
im899angry.png,negative
im1117sadness.png,negative
im971fearful.png,neutral
im697fearful.png,positive
im1115sadness.png,negative
im867angry.png,negative
im71angry.png,positive
im657sadness.png,negative
im171sadness.png,negative
im766sadness.png,negative
im389fearful.png,negative
im366sadness.png,negative
im612sadness.png,negative
im536angry.png,negative
im126angry.png,negative
im234angry.png,negative
im874fearful.png,negative
im805angry.png,negative
im1037sadness.png,negative
im257fearful.png,negative
im177fearful.png,negative
im890fearful.png,negative
im453fearful.png,negative
im706sadness.png,negative
im270angry.png,negative
im166angry.png,negative
im775angry.png,negative
im949fearful.png,negative
im820angry.png,negative
im223angry.png,negative
im1006sadness.png,negative
im765sadness.png,negative
im739sadness.png,negative
im308sadness.png,negative
im69disgusted.png,positive
im193angry.png,negative
im82fearful.png,negative
im872angry.png,neutral
im462fearful.png,negative
im933angry.png,negative
im1151sadness.png,negative
im829fearful.png,negative
im443fearful.png,negative
im415angry.png,negative
im626sadness.png,negative
im19fearful.png,negative
im465angry.png,negative
im896sadness.png,negative
im1211sadness.png,negative
im644fearful.png,negative
im884fearful.png,negative
im47fearful.png,negative
im704sadness.png,negative
im893angry.png,negative
im816angry.png,negative
im947sadness.png,negative
im1164sadness.png,negative
im484sadness.png,negative
im803fearful.png,neutral
im820fearful.png,negative
im352fearful.png,positive
im323sadness.png,negative
im185angry.png,negative
im741fearful.png,neutral
im429angry.png,negative
im375angry.png,negative
im979sadness.png,negative
im6sadness.png,negative
im170angry.png,negative
im725sadness.png,positive
im733sadness.png,negative
im35disgusted.png,negative
im81angry.png,negative
im215angry.png,negative
im721sadness.png,positive
im1005fearful.png,positive
im547fearful.png,negative
im866fearful.png,negative
im291fearful.png,negative
im183angry.png,negative
im455fearful.png,negative
im848sadness.png,negative
im668angry.png,positive
im545angry.png,neutral
im618sadness.png,positive
im551fearful.png,negative
im58angry.png,negative
im92sadness.png,negative
im433fearful.png,positive
im725angry.png,negative
im106angry.png,negative
im372sadness.png,negative
im492angry.png,negative
im744sadness.png,negative
im287angry.png,negative
im468angry.png,negative
im290sadness.png,neutral
im314sadness.png,negative
